,Team Score,Opp Score,Home/Away,Opponent,Team FG%,Opponent FG%,Team 3P%,Opponent 3P%,Team AST,Team TOV,Opponent AST,Opponent TOV,Team FGA,Team FTA,Opponent FGA,Opponent FTA,Team ORB,Opponent ORB,ORtg,DRtg,Ast_Tov_Team,Ast_Tov_Opp,Possession,Team,Opponent_num,prev_ORtg,prev_DRtg
0,105,85,0,HOU,0.506,0.345,0.481,0.229,26,21,17,16,79,18,87,26,9,15,109.43199583116207,88.58780614903597,1.238095238095238,1.0625,95.95,18,19,0.0,0.0
1,78,95,1,MIN,0.305,0.423,0.2,0.182,15,14,18,17,95,20,71,41,17,7,69.0341851974776,84.08009735590221,1.0714285714285714,1.0588235294117647,112.9875,18,29,0.0,0.0
2,93,117,0,OKC,0.38,0.523,0.34600000000000003,0.52,20,13,32,19,92,19,86,18,14,13,90.03993706886118,113.27604986082537,1.5384615384615383,1.6842105263157894,103.2875,18,20,0.0,0.0
3,120,109,0,LAL,0.506,0.419,0.35,0.231,30,14,18,10,85,31,86,38,11,11,117.20180686118911,106.45830789891346,2.142857142857143,1.8,102.3875,18,16,0.0,0.0
4,84,96,1,UTA,0.389,0.435,0.25,0.458,16,13,23,10,72,34,85,17,11,12,99.86625055728932,114.13285777975923,1.2307692307692308,2.3,84.11250000000003,18,21,0.0,0.0
5,104,119,0,GSW,0.424,0.495,0.333,0.459,23,19,40,20,92,22,93,18,10,13,94.9771689497717,108.675799086758,1.2105263157894737,2.0,109.5,18,30,0.0,0.0
6,108,104,1,POR,0.519,0.396,0.368,0.345,20,14,20,9,77,32,91,27,8,10,115.49258120572115,111.21507819810186,1.4285714285714286,2.2222222222222223,93.5125,18,23,0.0,0.0
7,103,102,1,MIL,0.494,0.532,0.333,0.455,27,14,26,16,79,24,79,9,14,8,113.38929406907938,112.28842713636988,1.9285714285714288,1.625,90.8375,18,1,0.0,0.0
8,107,98,1,HOU,0.457,0.429,0.45,0.31,25,18,19,20,81,32,77,31,12,8,101.9411694652852,93.3666785756818,1.3888888888888888,0.95,104.9625,18,19,0.0,0.0
9,81,105,0,PHO,0.34700000000000003,0.44,0.171,0.458,13,10,19,20,98,8,84,26,9,10,72.59690790947793,94.10710284561956,1.3,0.95,111.575,18,25,95.9481939552026,100.31996713747833
10,115,98,0,NOP,0.529,0.494,0.5,0.304,27,13,25,9,85,13,83,11,11,8,124.7288503253796,106.29067245119309,2.0769230769230766,2.7777777777777777,92.2,18,28,100.83079302547706,105.74197178964856
11,98,109,0,SAS,0.388,0.488,0.333,0.5,25,6,33,10,98,18,86,20,17,10,96.52794878108841,107.36271854223095,4.166666666666667,3.3,101.525,18,26,102.14416745892517,106.37366628249319
12,107,114,1,PHO,0.456,0.506,0.208,0.556,24,11,22,19,90,26,79,25,14,10,101.79569508859556,108.45522654298964,2.1818181818181817,1.1578947368421053,105.1125,18,25,103.40178990634908,106.45270927426061
13,105,118,1,GSW,0.43,0.528,0.267,0.517,23,19,35,21,86,35,89,13,13,11,99.62049335863377,111.95445920303604,1.2105263157894737,1.6666666666666667,105.4,18,30,103.35772205372997,105.36875835587152
14,94,111,1,LAC,0.397,0.468,0.32,0.4,16,16,24,7,78,29,79,47,8,11,95.86945436002037,113.2075471698113,1.0,3.4285714285714284,98.05,18,17,102.23437126664281,105.03676620873125
15,80,91,1,SAS,0.403,0.48,0.35,0.364,17,18,22,18,77,13,75,14,8,5,84.2881601475043,95.87778216778614,0.9444444444444444,1.2222222222222223,94.9125,18,26,101.67668407948985,105.06856144342632
16,81,92,0,DAL,0.4,0.429,0.32,0.269,17,20,18,13,75,17,77,27,10,10,88.09135399673734,100.05437737901032,0.85,1.3846153846153846,91.95,18,22,100.59969867115855,105.09325589482852
17,74,92,0,MIL,0.373,0.455,0.316,0.333,19,22,25,13,75,16,77,22,10,8,79.97838422048096,99.43258578762494,0.8636363636363636,1.9230769230769231,92.525,18,1,98.68772809004594,105.20076275374245
18,90,99,0,CHI,0.387,0.404,0.333,0.353,26,7,22,14,93,22,89,27,13,15,88.98776418242491,97.8865406006674,3.7142857142857135,1.5714285714285714,101.1375,18,11,96.37212521028184,105.06698052257812
19,106,105,0,TOR,0.469,0.424,0.444,0.29600000000000004,30,11,21,4,81,18,92,22,6,9,117.1270718232044,116.0220994475138,2.727272727272727,5.25,90.5,18,2,94.4682959162797,105.01692385919866
20,108,105,0,PHI,0.457,0.5,0.355,0.484,25,17,22,20,81,38,74,26,13,7,103.15186246418341,100.28653295128943,1.4705882352941178,1.1,104.7,18,6,94.56343879848816,105.1423912370162
21,74,85,1,ORL,0.333,0.4320000000000001,0.292,0.063,19,17,14,20,84,20,88,10,10,10,74.27854454203262,85.31994981179423,1.1176470588235294,0.7,99.625,18,8,93.08255246170062,104.25300434187983
22,111,108,1,MIN,0.442,0.4370000000000001,0.393,0.368,21,12,22,10,86,33,87,29,8,8,107.01373825018077,104.12147505422995,1.75,2.2,103.725,18,29,92.32994924726634,102.76297974879915
23,114,108,1,HOU,0.512,0.471,0.32,0.45,26,18,26,11,82,25,87,11,15,5,119.93687532877432,113.62440820620728,1.4444444444444444,2.363636363636364,95.05,18,19,92.97818869462537,101.95320692623082
24,112,100,0,MIN,0.562,0.468,0.556,0.4,24,14,21,9,73,27,77,31,10,10,126.87623902577171,113.28235627301045,1.7142857142857142,2.333333333333333,88.275,18,29,94.90349649851524,101.73858152007307
25,88,97,0,UTA,0.392,0.466,0.214,0.4,15,14,15,14,79,25,73,25,15,5,92.7536231884058,102.23978919631094,1.0714285714285714,1.0714285714285714,94.875,18,21,97.95666258072617,102.00726534417565
26,125,130,1,NOP,0.469,0.564,0.486,0.458,26,5,24,10,96,22,78,39,13,7,115.754138210441,120.38430373885865,5.2,2.4,107.9875,18,28,100.38230068077827,102.77404455733559
27,107,111,1,LAL,0.456,0.476,0.36,0.269,26,12,17,11,90,19,84,32,13,11,105.30200516668717,109.23852872432032,2.1666666666666665,1.5454545454545454,101.6125,18,16,103.28658972055246,104.26688583860903
28,104,96,0,PHO,0.462,0.414,0.4,0.52,26,17,21,16,91,13,87,17,13,12,101.8359853121175,94.00244798041616,1.5294117647058822,1.3125,102.125,18,25,105.79796514586096,105.69524806832825
29,86,101,0,SAS,0.442,0.481,0.278,0.7,25,15,21,11,86,6,81,17,8,10,90.08773078433941,105.80070708393349,1.6666666666666667,1.9090909090909087,95.4625,18,26,107.2446714362118,106.49637244735318
30,112,122,0,OKC,0.489,0.578,0.36,0.5329999999999999,24,10,27,14,94,15,83,21,17,13,112.50627825213463,122.55148166750378,2.4,1.9285714285714288,99.55,18,20,106.64501569681087,106.79143638012313
31,87,93,1,CLE,0.416,0.442,0.208,0.182,18,18,17,12,89,11,86,22,12,9,85.85173307018626,91.77254224744048,1.0,1.4166666666666667,101.3375,18,15,106.81308906348885,108.096018776227
32,103,110,0,POR,0.425,0.471,0.444,0.375,20,14,22,14,87,19,87,20,12,12,104.8212695585803,111.94504515964891,1.4285714285714286,1.5714285714285714,98.2625,18,23,106.17811226809503,108.27386076899745
33,108,111,0,GSW,0.419,0.5,0.16699999999999998,0.35700000000000004,27,13,34,13,105,23,86,23,24,9,96.0640426951301,98.73248832555038,2.0769230769230766,2.6153846153846154,112.425,18,30,104.46142833961962,108.02677202843397
34,106,112,1,POR,0.425,0.513,0.318,0.435,20,8,23,10,80,48,78,32,15,7,109.27835051546393,115.46391752577318,2.5,2.3,97.0,18,23,102.21724074309358,106.97728362157486
35,78,74,0,MIN,0.358,0.384,0.4,0.273,21,11,23,9,81,17,73,20,13,8,87.3582528349433,82.87834243315135,1.9090909090909087,2.555555555555556,89.2875,18,29,100.80583926015652,106.72334513054481
36,84,91,0,MEM,0.368,0.366,0.211,0.444,19,17,14,7,87,19,82,30,19,11,87.83165599268071,95.15096065873743,1.1176470588235294,2.0,95.6375,18,24,100.11697669465713,105.61014625285975
37,95,92,1,CHO,0.416,0.361,0.444,0.333,25,13,24,12,77,23,83,24,8,9,103.078801030788,99.82368099823681,1.9230769230769231,2.0,92.1625,18,9,98.56392170251854,103.99181164890972
38,112,110,1,GSW,0.425,0.477,0.227,0.385,22,13,25,13,87,37,88,20,13,7,108.17336713751058,106.24169986719791,1.6923076923076923,1.9230769230769231,103.5375,18,30,98.07639347315416,102.82280796378838
39,95,98,1,MIA,0.41,0.494,0.333,0.333,23,13,26,13,78,26,81,19,6,9,100.8626410086264,104.04777704047777,1.7692307692307692,2.0,94.1875,18,5,98.10607785269069,102.26499778421137
40,129,126,1,IND,0.505,0.585,0.385,0.45,25,17,27,15,91,38,82,30,17,9,117.11302768951427,114.3894689060372,1.4705882352941178,1.8,110.15,18,4,98.43945683362259,101.30839724579906
41,104,110,1,OKC,0.422,0.423,0.35,0.214,21,17,30,13,83,36,97,30,12,16,104.33910208176573,110.35866566340607,1.2352941176470589,2.3076923076923075,99.675,18,20,99.01244471405776,100.79804852452028
42,101,102,1,MEM,0.45,0.5,0.3,0.28600000000000003,26,10,21,12,80,26,72,29,10,4,104.05666452028332,105.08692852543464,2.6,1.75,97.0625,18,24,100.57313238957612,101.9251454375941
43,104,101,1,DET,0.462,0.476,0.364,0.379,18,8,23,16,78,29,84,19,3,11,110.16949152542372,106.99152542372879,2.25,1.4375,94.4,18,13,101.64597941329261,102.59204726710377
44,105,119,1,ATL,0.393,0.5,0.3,0.333,18,15,28,14,84,37,86,26,12,10,102.47651579846284,116.14005123825791,1.2,2.0,102.4625,18,14,103.4002676944135,104.07777614280475
45,103,111,0,BOS,0.429,0.4270000000000001,0.333,0.321,23,20,29,11,84,32,96,24,14,14,104.25101214574896,112.3481781376518,1.15,2.636363636363636,98.8,18,3,104.33015365784436,105.44116559682595
46,117,113,0,WAS,0.506,0.443,0.5,0.393,25,15,21,14,81,33,88,30,7,12,115.88461062275594,111.92274359291815,1.6666666666666667,1.5,100.9625,18,10,105.6808676680368,107.68229036608399
47,105,109,0,IND,0.46,0.44,0.222,0.333,24,19,26,15,87,25,100,16,8,14,102.20221438131159,106.09563207202824,1.263157894736842,1.7333333333333334,102.7375,18,4,106.92293366683106,109.04095399239232
48,112,93,1,TOR,0.542,0.3720000000000001,0.455,0.32,28,19,13,12,83,15,78,39,7,9,108.39583837406241,90.00725864989111,1.4736842105263157,1.0833333333333333,103.325,18,2,106.89739468552575,109.72932624456134
